In_Type,Com_Tr_Num,Date_Com,Date_Com_Re,Date_Complete,Com_Class,In_Status,Disp,B_Com,Div_Com,Un_Com,Detail,WorkSta,ShiftCom,Rule,Par,UnOff_ID,Off_R_Eth,Off_Gen,Off_Age,Off_Year,Com_Gen,Com_Eth,Com_Age
Public Initiated,2023-0400-P,U,2023/7/19,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30664,Black,F,U,U,F,U,U
Public Initiated,2023-0400-P,U,2023/7/19,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30667,Not Specified,U,U,U,F,U,U
Public Initiated,2023-0401-P,U,2023/7/20,U,DI-1,Initial,Pending,ISB - Investigative Services Bureau,CID,Sex Crimes,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30669,Black,F,U,U,M,W,U
Public Initiated,2023-0385-P,U,2023/7/14,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30671,White,M,U,U,U,U,U
Public Initiated,U,U,2023/7/21,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,30674,Not Specified,U,U,U,U,U,U
Public Initiated,2023-0387-P,2023/7/12,2023/7/14,U,DI-1,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30675,Not Specified,U,U,U,U,U,U
Public Initiated,2023-0385-P,U,2023/7/14,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30752,White,M,U,U,U,U,U
Public Initiated,2023-0385-P,U,2023/7/14,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30774,White,M,U,U,U,U,U
Public Initiated,2023-0325-N,2020/6/30,2023/7/7,U,NFIM,Initial,Pending,FOB - Field Operations Bureau,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30776,Not Specified,U,U,U,M,B,U
Rank Initiated,U,U,2023/7/17,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,30855,Not Specified,U,U,U,U,U,U
